batch,score,loss,loss_v
172,-38,-1.6495826,263.72903
173,-44,-4.2720003,445.40295
174,-44,-4.116741,394.26422
175,-36,-2.50241,284.21005
176,-48,-7.1402273,584.0056
177,-50,-8.420784,564.17474
178,-42,-5.0135736,559.9129
179,-8,0.13675319,36.58055
180,-40,-5.9109373,540.2758
181,-32,-5.483097,456.4325
182,-42,-5.325067,384.46872
183,-50,-10.65836,554.2681
184,-34,-5.502847,470.643
185,-50,-12.76605,555.9017
186,-2,2.3135982,72.675995
187,-48,-7.009624,576.7537
188,-46,-6.6015635,467.54016
189,-40,-11.070118,515.35156
190,-50,-11.095157,561.3335
191,-28,-1.5949357,134.47319
192,-50,-6.8304834,560.85754
193,-26,-1.4202509,119.52644
194,-40,-5.9980154,531.7678
195,-50,-12.46573,559.9739
196,-50,-6.6195655,558.3918
197,-44,-3.0318751,559.3508
198,-50,-13.827939,558.23804
199,-50,-10.405157,559.69135
200,-44,-5.6136327,419.04956
201,-50,-16.708176,557.8719
202,-30,-2.0037868,148.06723
203,-50,-9.22366,552.84705
204,-42,-9.022774,532.9431
205,-46,-3.3672993,476.30994
206,-50,-6.409098,552.3271
207,-50,-8.836766,557.4063
208,-26,-1.5216979,119.52451
209,-50,-10.919319,556.59467
210,-50,-9.7428875,554.69244
211,-20,-1.8576452,60.105167
212,-50,-13.8796425,556.8601
213,-44,-3.624387,554.97766
214,-50,-8.2513485,552.85236
215,-26,-3.8087535,112.78951
216,-36,-4.0925975,226.59094
217,-30,-4.043603,161.66399
218,-50,-10.970066,555.8372
219,-42,-5.2771826,541.50604
220,-46,-10.447997,555.9687
221,-50,-10.760659,553.6431
222,-46,-3.735889,438.25647
223,-48,-3.7122304,564.17725
224,-36,-4.4558525,489.0859
225,-50,-5.6472406,555.31177
226,-14,-1.4427624,259.95786
227,-50,-2.565679,567.0595
228,-32,-1.7344153,193.25558
229,-42,-5.757582,380.3783
230,-50,-6.503345,555.89795
231,-38,-7.086164,506.8997
232,-38,-4.3271255,507.05792
233,-24,-2.0123024,92.39309
234,-50,-8.971401,551.13525
235,-50,-8.032236,553.06134
236,-44,-5.886281,384.86603
237,-44,-0.4018437,549.4626
238,-42,-2.249049,535.73364
239,-44,-7.3157763,421.075
240,-50,-0.5566685,560.8162
241,-40,-3.4493675,524.76984
242,-50,-2.4482007,551.91815
243,-50,-5.4933653,552.2771
244,-50,-1.8154618,547.40076
245,-42,-5.5985045,385.12204
246,-40,-4.267303,293.75186
247,-42,-4.7241716,532.74493
248,-44,-0.4747915,545.38654
249,-44,-2.324559,383.2255
250,-44,-2.8481033,545.22815
251,-28,-0.44565248,403.28278
252,-28,-1.5964032,141.82642
253,-50,-3.0540605,549.6195
254,-48,-2.8686798,554.93005
255,-24,-0.83035165,97.89508
256,-50,-3.0548296,557.37103
257,-18,-3.2698655,298.2888
258,-24,-1.2047096,91.01615
259,-46,-3.1620436,549.1849
260,-32,-2.4236345,179.17503
261,-50,-8.263039,549.95044
262,-34,-3.1226208,216.37744
263,-46,-5.5303826,434.5582
264,-50,-7.7294726,549.0712
265,-38,-2.9249418,501.0226
266,-50,-2.8336108,547.43695
267,-44,-2.1552994,540.5391
268,-50,-6.644258,549.96704
269,-32,-0.46525958,169.73593
270,-32,-0.57103175,165.59991
271,-42,-2.287371,529.3996
272,-50,-4.732495,551.8645
273,-32,-3.3902574,208.01483
274,-24,-0.35207704,91.371346
275,-42,-1.7796255,370.19824
276,-50,-2.737451,549.1214
277,-50,-4.81246,548.6933
278,-50,-2.0527303,546.7718
279,-32,-1.3098941,445.12152
280,-44,-1.6534078,417.54883
281,-20,-0.89489704,59.296085
282,-50,-4.775418,548.82806
283,-40,-1.6234622,341.70493
284,-50,-6.4946904,548.6739
285,-44,-1.3779491,411.4646
286,-48,-0.48078197,504.8529
287,-46,-0.5920467,544.7182
288,-46,-5.749262,459.0996
289,-42,-4.0063853,379.84225
290,-42,-0.6581368,527.08
291,-34,-0.414731,223.98492
292,-46,-2.0800114,543.83307
293,-50,-4.8673835,547.4494
294,-44,-3.7341316,536.69617
295,-50,-2.1349947,551.23157
296,-50,-4.634527,546.78204
297,-50,-5.3900356,546.6973
298,-50,-5.5470867,544.902
299,-50,-11.741996,547.57623
300,-48,-4.889253,549.0524
301,-44,-5.917518,535.31445
302,-42,-1.8204236,331.3697
303,-44,-3.6612308,378.31454
304,-30,-3.4167247,421.54648
305,-48,-2.0079777,501.23358
306,-50,-10.185274,546.8842
307,-42,-5.858269,523.5438
308,-42,-3.2858264,377.91348
309,-32,-2.554488,173.78195
310,-16,-3.1981692,274.0099
311,-34,-3.9051497,460.28497
312,-50,-4.9408555,544.2332
313,-40,-6.414646,331.1314
314,-36,-2.745899,256.2449
315,-46,-2.9261005,430.29944
316,-44,-3.2696111,532.9918
317,-38,-3.7924852,494.52524
318,-42,-4.6516476,522.45337
319,-50,-6.449727,545.41516
320,-38,-4.7845635,493.9955
321,-50,-4.00624,544.2466
322,-28,-1.2464894,133.02167
323,-34,-5.718688,458.92426
324,-44,-3.7296886,531.50946
325,-50,-9.174307,545.0256
326,-42,-1.704626,521.42725
327,-40,-3.1599169,285.60458
328,-40,-2.3407338,508.42108
329,-50,-3.116426,543.298
330,-36,-5.033375,475.25208
331,-34,-3.3436694,184.53264
332,-40,-5.1543202,286.71008
333,-50,-8.000837,543.64185
334,-50,-9.485938,544.0784
335,-40,-8.763353,507.39258
336,-38,-7.2374296,491.8644
337,-40,-8.434795,504.84235
338,-50,-14.977625,544.20056
339,-36,-6.419046,475.24384
340,-32,-8.881187,437.69247
341,-42,-9.664264,517.7177
342,-28,-1.5617931,132.44843
343,-34,-2.1186314,186.59601
344,-50,-14.235403,543.4284
345,-42,-8.646226,518.18585
346,-42,-9.500385,517.0033
347,-30,-6.0895057,418.92148
348,-44,-7.5062265,376.12387
349,-50,-4.4560504,542.10284
350,-50,-7.5424023,541.8821
351,-30,-5.5311832,418.7423
352,-50,-5.0233645,543.90326
353,-50,-5.9835467,544.6937
354,-50,-12.095736,542.0
355,-46,-3.7021167,536.2154
356,-50,-3.5555215,543.6231
357,-50,-4.6934605,542.78314
358,-32,-4.980674,437.54507
359,-50,-7.0851173,541.73926
360,-50,-10.199581,542.1643
361,-42,-6.031665,517.2478
362,-50,-15.225549,542.0802
363,-38,-4.3488684,489.9467
364,-42,-3.0263116,326.44437
365,-42,-2.8214033,372.67886
366,-50,-9.367024,541.23694
367,-32,-4.5846305,437.39835
368,-34,-6.3453193,455.10446
369,-50,-4.7247095,540.3984
370,-50,-9.802352,541.2224
371,-36,-2.6017268,240.77245
372,-50,-9.921091,541.0235
373,-44,-5.8165507,526.0898
374,-50,-8.359242,540.35645
375,-44,-5.046884,408.87027
376,-50,-3.5636964,541.36017
377,-30,-1.9195768,149.40047
378,-50,-8.870302,539.9307
379,-40,-4.5691986,327.17026
380,-50,-11.450265,539.56116
381,-42,-2.7211425,515.07336
382,-28,-6.224144,395.8658
383,-38,-4.140068,488.26852
